Company;Email;City;Country;Sector
Norsk Helikopter;info@norskhelikopter.com;Bergen;Norway;Industrial
PricewaterhouseCoopers Norway;info@pricewaterhousecoopersnor.com;Oslo;Norway;Engineering
Pon Equipment;info@ponequipment.com;Oslo;Norway;Manufacturing
Det Norske Diakonhjem;info@detnorskediakonhjem.com;Oslo;Norway;Pharma
Kjedehuset;info@kjedehuset.com;Oslo;Norway;Manufacturing
Coop Økonom;info@coopøkonom.com;Oslo;Norway;Manufacturing
Coop Haugaland;info@coophaugaland.com;Haugesund;Norway;Manufacturing
Seaborn;info@seaborn.com;Bergen;Norway;Industrial
Kuoni Scandinavia;info@kuoniscandinavia.com;Oslo;Norway;Industrial
CHC Helikopter Service;info@chchelikopterservice.com;Bergen;Norway;Industrial
Dagbladet;info@dagbladet.com;Oslo;Norway;Engineering
Linstow;info@linstow.com;Oslo;Norway;Industrial
Shell International Pipelines;info@shellinternationalpipelin.com;Oslo;Norway;Industrial
SCA Hygiene Products;info@scahygieneproducts.com;Oslo;Norway;Manufacturing
Maske Gruppen;info@maskegruppen.com;Oslo;Norway;Manufacturing
Marathon Petroleum Norway;info@marathonpetroleumnorway.com;Oslo;Norway;Industrial
Nortura Hærland;info@nortura.no;Oslo;Norway;Manufacturing
Handicare;info@handicare.com;Oslo;Norway;Pharma
Chevron Norge;info@chevronnorge.com;Oslo;Norway;Industrial
Kronos Norge;info@kronosnorge.com;Oslo;Norway;Manufacturing
Bonnier Publications Norway;info@bonnierpublicationsnorway.com;Oslo;Norway;Engineering
Altinex;info@altinex.com;Oslo;Norway;Engineering
Bergene Holm;info@bergeneholm.com;Oslo;Norway;Manufacturing
Infocare;info@infocare.com;Oslo;Norway;Engineering
Gartnerhallen;info@gartnerhallen.com;Oslo;Norway;Manufacturing
NCC Roads;info@ncc.no;Oslo;Norway;Engineering
Jordan;info@jordan.com;Oslo;Norway;Manufacturing
Lindex;info@lindex.com;Oslo;Norway;Manufacturing
Bundegruppen;info@bundegruppen.com;Oslo;Norway;Manufacturing
Lefdal Elektromarked;info@lefdalelektromarked.com;Oslo;Norway;Manufacturing
Nordli Gruppen;info@nordligruppen.com;Oslo;Norway;Manufacturing
Spenncon;info@spenncon.com;Oslo;Norway;Engineering
Assuranceforeningen Gard;info@assuranceforeningengard.com;Oslo;Norway;Industrial
Spis Norge;info@spisnorge.com;Oslo;Norway;Manufacturing
Legula;info@legula.com;Oslo;Norway;Manufacturing
Stavanger Fondsforvaltning;info@stavangerfondsforvaltning.com;Stavanger;Norway;Industrial
KappAhl;info@kappahl.com;Oslo;Norway;Manufacturing
E.ON Ruhrgas Norge;info@eonruhrgasnorge.com;Oslo;Norway;Industrial
Aker Marine Contractors;info@akerasa.com;Oslo;Norway;Industrial
Mitsui & Co Norway;info@mitsuiandconorway.com;Oslo;Norway;Industrial
Sparebanken Hedmark;info@sparebankenhedmark.com;Hamar;Norway;Industrial
DFDS Lys Line;info@dfdslysline.com;Oslo;Norway;Industrial
KCA Deutag Drilling Norge;info@kcadeutagdrillingnorge.com;Stavanger;Norway;Industrial
Knutsen Shuttle Tankers Pool;info@knutsenshuttletankerspool.com;Bergen;Norway;Industrial
Clas Ohlson;info@clasohlson.com;Oslo;Norway;Manufacturing
Jysk;;Oslo;Norway;Manufacturing
Green Reefers;info@greenreefers.com;Bergen;Norway;Industrial
T S Eiendom;info@tseiendom.com;Oslo;Norway;Industrial
Get AS;info@getas.com;Oslo;Norway;Engineering
Pexip;info@pexip.com;Oslo;Norway;Engineering
Atea;;Oslo;Norway;Engineering
Evry;;Oslo;Norway;Engineering
Momentum Group;info@momentumgroup.com;Oslo;Norway;Manufacturing
Asker og Bærum Bud;info@askerogbærumbud.com;Oslo;Norway;Industrial
Bravida;info@bravida.com;Oslo;Norway;Engineering
Caverion;info@caverion.com;Oslo;Norway;Engineering
Aibel;info@aibel.com;Bergen;Norway;Industrial
Aker BP;info@akerasa.com;Oslo;Norway;Industrial
Apply;info@apply.com;Oslo;Norway;Engineering
Aker Clean Hydrogen;info@hydro.com;Oslo;Norway;Industrial
BW Offshore;info@bwoffshore.com;Oslo;Norway;Industrial
BW LPG;info@bwlpg.com;Oslo;Norway;Industrial
Frontline;info@frontline.com;Oslo;Norway;Industrial
Havila Shipping;info@havilashipping.com;Bergen;Norway;Industrial
Solstad Farstad;info@solstadfarstad.com;Skudeneshavn;Norway;Industrial
Siem Offshore;info@siemoffshore.com;Kristiansand;Norway;Industrial
Deep Sea Supply;info@deepseasupply.com;Bergen;Norway;Industrial
Golden Ocean;info@goldenocean.com;Oslo;Norway;Industrial
Nordic American Tankers;info@nordicamericantankers.com;Oslo;Norway;Industrial
Teekay;info@teekay.com;Oslo;Norway;Industrial
Flex LNG;info@flexlng.com;Oslo;Norway;Industrial
Golar LNG;info@golarlng.com;Oslo;Norway;Industrial
Cool Company;info@coolcompany.com;Oslo;Norway;Industrial
Hunter Group;info@huntergroup.com;Oslo;Norway;Industrial
2020 Bulkers;info@2020bulkers.com;Oslo;Norway;Industrial
Arctic Securities;info@arcticsecurities.com;Oslo;Norway;Engineering
DNB Markets;info@dnb.no;Oslo;Norway;Engineering
Pareto Securities;info@paretosecurities.com;Oslo;Norway;Engineering
SpareBank 1 Markets;info@sparebank1markets.com;Oslo;Norway;Engineering
Arctic Paper;info@arcticpaper.com;Oslo;Norway;Manufacturing
Elopak;info@elopak.com;Oslo;Norway;Manufacturing
Hexpol;info@hexpol.com;Oslo;Norway;Manufacturing
Scatec;info@scatec.com;Oslo;Norway;Industrial
REC Solar;info@recsolar.com;Oslo;Norway;Industrial
Nel Hydrogen;info@hydro.com;Oslo;Norway;Industrial
Hydrogen Pro;info@hydro.com;Oslo;Norway;Industrial
Hexagon Purus;info@hexagonpurus.com;Oslo;Norway;Industrial
Freyr;info@freyr.com;Oslo;Norway;Industrial
Morrow Batteries;info@morrowbatteries.com;Oslo;Norway;Industrial
Battery Norway;info@batterynorway.com;Oslo;Norway;Industrial
Norsk Titanium;info@norsktitanium.com;Oslo;Norway;Manufacturing
Kongsberg Digital;info@kongsberg.com;Kongsberg;Norway;Engineering
Kongsberg Defence;info@kongsberg.com;Kongsberg;Norway;Industrial
Thales Norway;info@thalesnorway.com;Oslo;Norway;Engineering
Kongsberg Protech;info@kongsberg.com;Kongsberg;Norway;Industrial
Nexans;info@nexans.com;Oslo;Norway;Manufacturing
Fesil;info@fesil.com;Oslo;Norway;Manufacturing
Hydro;info@hydro.com;Oslo;Norway;Industrial
Yara;info@yara.com;Oslo;Norway;Industrial
Innoco;info@innoco.com;Oslo;Norway;Manufacturing
Scatec Solar;info@scatecsolar.com;Oslo;Norway;Industrial
Lyse;;Stavanger;Norway;Industrial
BKK;;Bergen;Norway;Industrial
Skagerak;info@skagerak.com;Porsgrunn;Norway;Industrial
Glencore Norway;info@glencorenorway.com;Oslo;Norway;Industrial
Lundin Energy;info@lundinenergy.com;Oslo;Norway;Industrial
Aker Horizons;info@akerasa.com;Oslo;Norway;Industrial
Nel;;Oslo;Norway;Industrial
Mestergruppen;info@mestergruppen.com;Oslo;Norway;Engineering
Sweco Norway;info@sweconorway.com;Oslo;Norway;Engineering
COWI Norway;info@cowinorway.com;Oslo;Norway;Engineering
Ramboll Norway;info@rambollnorway.com;Oslo;Norway;Engineering
Skanska;info@skanska.no;Oslo;Norway;Engineering
OBOS;;Oslo;Norway;Industrial
Selvaag;info@selvaag.com;Oslo;Norway;Engineering
Entra;info@entra.com;Oslo;Norway;Industrial
If Skadeforsikring;info@ifskadeforsikring.com;Oslo;Norway;Industrial
Tryg;;Oslo;Norway;Industrial
Protector;info@protector.com;Oslo;Norway;Industrial
Amedia;info@amedia.com;Oslo;Norway;Engineering
TV 2;;Bergen;Norway;Engineering
Egmont;info@egmont.com;Oslo;Norway;Engineering
Aller Media;info@allermedia.com;Oslo;Norway;Engineering
Polaris Media;info@polarismedia.com;Oslo;Norway;Engineering
NHST;;Bergen;Norway;Engineering
Teknisk Ukeblad;info@tekniskukeblad.com;Oslo;Norway;Engineering
Nettavisen;info@nettavisen.com;Oslo;Norway;Engineering
E24;;Oslo;Norway;Engineering
Finansavisen;info@finansavisen.com;Oslo;Norway;Engineering
Dagens Næringsliv;info@dagensnæringsliv.com;Oslo;Norway;Engineering
Aftenposten;info@aftenposten.com;Oslo;Norway;Engineering
VG;;Oslo;Norway;Engineering
Klassekampen;info@klassekampen.com;Oslo;Norway;Engineering
Dagsavisen;info@dagsavisen.com;Oslo;Norway;Engineering
Stavanger Aftenblad;info@stavangeraftenblad.com;Stavanger;Norway;Engineering
Fædrelandsvennen;info@fædrelandsvennen.com;Kristiansand;Norway;Engineering
Nordlys;info@nordlys.com;Tromsø;Norway;Engineering
Romsdal Budstikke;info@romsdalbudstikke.com;Molde;Norway;Engineering
Haugesunds Avis;info@haugesundsavis.com;Haugesund;Norway;Engineering
Sunnmørsposten;info@sunnmørsposten.com;Ålesund;Norway;Engineering
Gjengangeren;info@gjengangeren.com;Horten;Norway;Engineering
Tønsbergs Blad;info@tønsbergsblad.com;Tønsberg;Norway;Engineering
Fredriksstad Blad;info@fredriksstadblad.com;Fredrikstad;Norway;Engineering
Glåmdalen;info@glåmdalen.com;Kongsvinger;Norway;Engineering
Oppland Arbeiderblad;info@opplandarbeiderblad.com;Gjøvik;Norway;Engineering
Ringerikes Blad;info@ringerikesblad.com;Hønefoss;Norway;Engineering
Lokalavisen;info@lokalavisen.com;Oslo;Norway;Engineering
Bygdeposten;info@bygdeposten.com;Oslo;Norway;Engineering
Tu.no;;Oslo;Norway;Engineering
Shifter;info@shifter.com;Oslo;Norway;Engineering
Digi;;Oslo;Norway;Engineering
Computerworld;info@computerworld.com;Oslo;Norway;Engineering
Dinside;info@dinside.com;Oslo;Norway;Engineering
Godt;;Oslo;Norway;Manufacturing
Kamille;info@kamille.com;Oslo;Norway;Manufacturing
Sol;;Oslo;Norway;Manufacturing
Se og Hør;info@seoghør.com;Oslo;Norway;Engineering
Hjemmet;info@hjemmet.com;Oslo;Norway;Engineering
Allers;info@allers.com;Oslo;Norway;Engineering
Det Norske Veritas;info@detnorskeveritas.com;Oslo;Norway;Engineering
DNV;;Oslo;Norway;Engineering
SINTEF Industry;info@sintef.no;Trondheim;Norway;Engineering
SINTEF Energy;info@sintef.no;Trondheim;Norway;Engineering
SINTEF Digital;info@sintef.no;Trondheim;Norway;Engineering
SINTEF Ocean;info@sintef.no;Trondheim;Norway;Engineering
SINTEF Building Research;info@sintef.no;Trondheim;Norway;Engineering
Nofima;info@nofima.com;Tromsø;Norway;Industrial
NIBIO;info@nibio.com;Ås;Norway;Industrial
SINTEF Manufacturing;info@sintef.no;Trondheim;Norway;Engineering
SINTEF Materials;info@sintef.no;Trondheim;Norway;Engineering
Norwegian Research Centre;info@norwegianresearchcentre.com;Oslo;Norway;Engineering
NORCE;info@norce.com;Bergen;Norway;Engineering
SINTEF Community;info@sintef.no;Trondheim;Norway;Engineering
Oslo Cancer Cluster;info@oslocancercluster.com;Oslo;Norway;Pharma
Norway Health Tech;info@norwayhealthtech.com;Oslo;Norway;Pharma
NCE Maritime;info@ncemaritime.com;Bergen;Norway;Industrial
NCE Seafood Innovation;info@nceseafoodinnovation.com;Bergen;Norway;Manufacturing
NCE Smart Energy;info@ncesmartenergy.com;Oslo;Norway;Industrial
NCE Clevr;info@nceclevr.com;Oslo;Norway;Engineering
Norwegian Smart Care Cluster;info@norwegiansmartcarecluster.com;Oslo;Norway;Pharma
Norwegian Catapult;info@norwegiancatapult.com;Oslo;Norway;Industrial
Future Materials;info@futurematerials.com;Oslo;Norway;Manufacturing
Ocean Hyway Cluster;info@oceanhywaycluster.com;Bergen;Norway;Industrial
Norwegian Offshore Wind;info@norwegianoffshorewind.com;Oslo;Norway;Industrial
Norwegian Hydrogen;info@hydro.com;Oslo;Norway;Industrial
Greenstat;info@greenstat.com;Haugesund;Norway;Industrial
Horisont Energi;info@horisontenergi.com;Oslo;Norway;Industrial
Northern Lights;info@northernlights.com;Oslo;Norway;Industrial
Longship;info@longship.com;Oslo;Norway;Industrial
Aker Carbon Capture;info@akerasa.com;Oslo;Norway;Industrial
Carbon Capture Norway;info@carboncapturenorway.com;Oslo;Norway;Industrial
Norsk Gjenvinning;info@norskgjenvinning.com;Oslo;Norway;Industrial
Ragn-Sells;info@ragnsells.com;Oslo;Norway;Industrial
Grønt Punkt Norge;info@grøntpunktnorge.com;Oslo;Norway;Industrial
Infinity Recycling;info@infinityrecycling.com;Oslo;Norway;Industrial
Tomra;info@tomra.com;Asker;Norway;Manufacturing
Tine;;Oslo;Norway;Manufacturing
